Reservoir unit,Latitude,Longitude,Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
ANKLESHWAR (HAZAD-ARDOL),21.6,72.9167,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,MATURE PRODUCTION,WRENCH/RIFT,2950,PALEOGENE,SANDSTONE,670.0,0.0,21.0,250.0
NUGGET,41.0799,-111.0518,COMPRESSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,12370,JURASSIC,SANDSTONE,1020.0,816.0,10.0,3.0
ANTRIM SHALE (NORWOOD-LACHINE),44.954,-84.6603,STRIKE-SLIP/TRANSPRESSION,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,500,DEVONIAN,SHALE,100.0,80.0,4.0,10.0
CIBULAKAN,-5.895,107.6981,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,2310,NEOGENE,LOW-RESISTIVITY SANDSTONE,1197.0,263.0,26.0,300.0
KASHIRA-PODOL,55.8569,54.3689,,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2760,CARBONIFEROUS,DOLOMITIC LIMESTONE,141.0,26.0,,24.0
ARUN LIMESTONE (PEUTU),5.0542,97.2583,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,BACKARC,9460,NEOGENE,LIMESTONE,770.0,500.0,16.0,13.5
THAMAMA ZONE B-C,23.298,54.2216,COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,7850,CRETACEOUS,LIMESTONE,274.0,250.0,30.0,20.0
EL GARIA,34.29,11.3989,EXTENSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8800,PALEOGENE,LIMESTONE,295.0,246.0,17.2,42.0
S SAND,27.5458,-92.443,,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,15840,NEOGENE,THINLY-BEDDED SANDSTONE,200.0,170.0,,150.0
ROTLIEGEND (AUK),56.4125,2.0286,EXTENSION/EROSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,7044,PERMIAN,SANDSTONE,980.0,840.0,19.0,5.0
ZECHSTEIN (HALIBUT),56.4125,2.0286,EXTENSION,OFFSHORE,OIL,DEPLETED,RIFT,7044,PERMIAN,DOLOMITE,30.0,30.0,13.0,53.0
KHUFF,26.0333,50.5333,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,ONSHORE,GAS,UNKNOWN,SALT/FORELAND,8943,PERMIAN,DOLOMITE,2100.0,445.0,11.0,25.0
MAUDDUD,26.0333,50.5333,,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,2233,CRETACEOUS,LIMESTONE,110.0,110.0,,63.0
THAMAMA ZONE B,23.875,53.5375,,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,8460,CRETACEOUS,LIMESTONE,144.0,127.0,,30.0
BAHARIYA,29.8589,28.5229,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,11175,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,115.0,46.0,12.0,15.0
ABU ROASH G,29.8698,27.7164,EXTENSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,7087,CRETACEOUS,SANDSTONE,476.0,95.0,21.5,55.0
BAHARIYA,29.8698,27.7164,EXTENSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,7546,CRETACEOUS,SANDSTONE,361.0,148.0,20.0,225.0
KHARITA,29.841,27.915,EXTENSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11200,CRETACEOUS,SANDSTONE,1378.0,446.0,14.0,340.0
BELAYIM,28.2349,33.4649,EXTENSION/EVAPORITE,OFFSHORE,OIL,PLATEAU PRODUCTION,SUB-SALT/RIFT,5025,NEOGENE,SANDSTONE,285.0,117.0,24.0,300.0
KAREEM,28.2349,33.4649,,OFFSHORE,OIL,THIRD PLATEAU PRODUCTION,SUB-SALT/RIFT,5671,NEOGENE,SANDSTONE,1000.0,290.0,,50.0
PRODUCTIVE SERIES (PERERIVA-BALAKHANY),40.0822,50.0975,,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,14650,NEOGENE,SANDSTONE,1000.0,490.0,,40.0
MAIN LIMESTONE,35.6378,44.0272,COMPRESSION/EVAPORITE,ONSHORE,OIL,REJUVENATING,FORELAND,2450,PALEOGENE-NEOGENE,LIMESTONE,900.0,285.0,20.0,50.0
BAIKOUQUAN,45.9306,85.0333,COMPRESSION/EROSION,ONSHORE,OIL,REJUVENATING,SUB-THRUST,6970,TRIASSIC,CONGLOMERATE,525.0,100.0,12.2,71.2
SHATLYK,38.0,61.88,,ONSHORE,GAS,ABANDONED,FORELAND,9090,CRETACEOUS,SANDSTONE,230.0,197.0,,123.0
TELISA 600,1.667,100.733,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,ONSHORE,OIL,REJUVENATING,INVERSION/BACKARC,1060,NEOGENE,LOW-RESISTIVITY SANDSTONE,120.0,70.0,32.0,68.0
BIG SAND,27.69,-91.73,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,OFFSHORE,GAS,PLATEAU PRODUCTION,SALT/PASSIVE MARGIN,13850,NEOGENE,SANDSTONE,118.0,100.0,27.0,836.0
KALOL,23.498,72.188,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,REJUVENATING,RIFT,3136,PALEOGENE,SANDSTONE,148.0,13.0,28.0,5000.0
RR2/RS2,4.705,113.694,GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/WRENCH,6615,NEOGENE,SANDSTONE,375.0,175.0,20.0,185.0
LEMAN SANDSTONE,53.6204,1.5183,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,6900,PERMIAN,SANDSTONE,750.0,570.0,11.0,0.5
LATROBE (M1 UNIT),-38.2786,147.7094,INVERSION/COMPRESSION/EXTENSION/EROSION,OFFSHORE,OIL,TEMPORARILY SHUT-IN,INVERSION/RIFT,4360,PALEOGENE,SANDSTONE,98.0,49.0,27.0,5000.0
LATROBE (N1 UNIT),-38.2786,147.7094,INVERSION/COMPRESSION/EXTENSION/EROSION,OFFSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT,3184,PALEOGENE,SANDSTONE,377.0,295.0,25.0,1000.0
MISSION CANYON (MADISON),48.2713,-102.9547,COMPRESSION,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,8350,CARBONIFEROUS,LIMESTONE,120.0,20.0,6.0,1.0
RUDEIS-KAREEM,28.603,33.1278,EXTENSION/EVAPORITE,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-SALT/RIFT,7090,NEOGENE,SANDSTONE,1300.0,500.0,18.0,400.0
MUDDY,45.1039,-105.0967,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4300,CRETACEOUS,SANDSTONE,45.0,23.0,28.5,2250.0
HANIFA,26.9833,49.6167,COMPRESSION/EVAPORITE,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND,7500,JURASSIC,LIMESTONE,270.0,190.0,17.0,50.0
BERYL,59.5498,1.5318,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9200,JURASSIC,SANDSTONE,500.0,425.0,17.0,350.0
LINNHE,59.5498,1.5318,EXTENSION/EROSION,OFFSHORE,OIL,UNKNOWN,RIFT,9600,JURASSIC,SANDSTONE,300.0,120.0,14.0,100.0
NANSEN,59.5498,1.5318,EXTENSION/EROSION,OFFSHORE,OIL,UNKNOWN,RIFT,9959,JURASSIC,SANDSTONE,180.0,144.0,18.0,200.0
ASMARI,30.0572,50.6384,COMPRESSION/EVAPORITE,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3150,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,1600.0,672.0,9.0,1.0
OHIO SHALE,37.7682,-82.4974,,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,2200,DEVONIAN,SHALE,600.0,100.0,,0.002
MISSION CANYON (BIG STICK FIELD),47.1,-103.32,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,9450,CARBONIFEROUS,DOLOMITE,100.0,18.0,17.0,20.0
WARSAW,38.1838,-99.9569,COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4580,CARBONIFEROUS,DOLOMITE,50.0,12.0,15.0,35.0
SLIGO (PETTET),31.9486,-92.932,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,PASSIVE MARGIN,7790,CRETACEOUS,LIMESTONE,150.0,72.5,15.0,133.0
WILCOX (LOPENO SANDS),26.57,-99.15,GRAVITY/EXTENSION/SHALE,ONSHORE,GAS,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,9875,PALEOGENE,SANDSTONE,3000.0,650.0,16.0,0.6
MALAY II,8.0876,102.2849,STRIKE-SLIP/INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,WRENCH/INVERSION/BACKARC,3020,NEOGENE,SANDSTONE,3400.0,120.0,22.0,160.0
BEND CONGLOMERATE,33.1875,-97.9167,INVERSION/EXTENSION/COMPRESSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,4500,CARBONIFEROUS,CONGLOMERATE,1100.0,73.0,10.0,3.0
CLEVELAND,36.27244,-100.33188,COMPRESSION/EROSION,ONSHORE,GAS,REJUVENATING,FORELAND,7325,CARBONIFEROUS,SHALY SANDSTONE,350.0,34.0,12.0,0.1
FENSFJORD,60.5868,3.0943,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,6348,JURASSIC,SANDSTONE,123.0,82.0,27.0,80.0
STATFJORD,60.5868,3.0943,EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7096,TRIASSIC-JURASSIC,SANDSTONE,312.0,82.0,24.0,1500.0
COTTON VALLEY LIME,31.3593,-96.2189,GRAVITY/EXTENSION/EVAPORITE,ONSHORE,GAS,NEARLY DEPLETED,SALT/PASSIVE MARGIN,14810,JURASSIC,CHALKY LIMESTONE,375.0,200.0,25.0,5.0
TUBB,36.0049,-103.8177,COMPRESSION,ONSHORE,CARBON DIOXIDE,PLATEAU PRODUCTION,FORELAND,1960,PERMIAN,SANDSTONE,250.0,120.0,20.0,42.0
LATROBE (N1 UNIT),-38.5221,147.7981,,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,5760,PALEOGENE,SANDSTONE,98.0,52.0,,2900.0
DAKOTA SANDSTONE (LOWER MEMBER),40.9639,-110.3091,COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,15460,CRETACEOUS,SANDSTONE,270.0,35.0,12.8,79.0
BRITANNIA SANDSTONE,58.0824,0.8413,EXTENSION,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11350,CRETACEOUS,SANDSTONE,275.0,120.0,15.0,40.0
SARIR,28.8453,22.1197,,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,13250,CRETACEOUS,SANDSTONE,800.0,490.0,,90.0
SHUAIBA,23.531,53.2953,COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,7650,CRETACEOUS,LIMESTONE,420.0,290.0,23.0,20.0
ARAB D,25.4333,52.7,GRAVITY/EVAPORITE/COMPRESSION,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,7270,JURASSIC,LIMESTONE,240.0,140.0,23.0,200.0
UWAINAT,25.4333,52.7,GRAVITY/EVAPORITE/COMPRESSION,OFFSHORE,OIL,UNKNOWN,SALT/FORELAND,8435,JURASSIC,LIMESTONE,180.0,140.0,14.0,25.0
TARAKAN-SANTUL-TABUL-BUNYU,3.4708,117.8625,INVERSION/COMPRESSION/EXTENSION/SHALE,ONSHORE,GAS,NEARLY DEPLETED,INVERSION/BACKARC,1115,NEOGENE,THINLY-BEDDED SANDSTONE,8200.0,390.0,25.0,1000.0
INTERLAKE,46.5782,-104.4303,,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,8400,SILURIAN,DOLOMITE,400.0,70.0,,5.0
RED RIVER,46.5782,-104.4303,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,8750,ORDOVICIAN,DOLOMITE,500.0,40.0,13.0,8.0
LANSING-KANSAS CITY,39.9739,-101.1508,COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4030,CARBONIFEROUS,LIMESTONE,265.0,14.0,15.0,10.0
GOMO (CANDEIAS),-12.6634,-38.5668,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,2116,CRETACEOUS,CONGLOMERATE,1476.0,180.0,15.0,30.0
LOWER CARBONERA,6.943,-71.1397,STRIKE-SLIP/BASEMENT-I,ONSHORE,OIL,REJUVENATING,WRENCH/FORELAND,6950,PALEOGENE,SANDSTONE,235.0,126.0,24.0,1450.0
CARMOPOLIS (MURIBECA),-10.6588,-36.9488,EXTENSION/EVAPORITE/GRAVITY,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,1788,CRETACEOUS,CONGLOMERATE,380.0,350.0,15.0,60.0
CARDIUM (E POOL),51.9278,-114.5405,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7975,CRETACEOUS,SANDSTONE,300.0,7.0,11.0,20.0
SWAN HILLS (BEAVERHILL LAKE A),51.9278,-114.5405,COMPRESSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,11500,DEVONIAN,DOLOMITE,300.0,60.0,10.0,100.0
VIKING,51.9278,-114.5405,COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7600,CRETACEOUS,SANDSTONE,158.0,15.0,9.5,10.0
PICO,34.3408,-119.5309,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/SHALE/BASEMENT-I,OFFSHORE,OIL,DECLINING PRODUCTION,THRUST/WRENCH,1835,NEOGENE,SANDSTONE,2000.0,350.0,28.0,550.0
CARDIUM (CARROT CREEK),53.4814,-115.7487,,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5200,CRETACEOUS,CONGLOMERATE,300.0,15.0,,15.0
COTTON VALLEY SANDSTONE,32.1988,-94.2574,GRAVITY/EXTENSION/EVAPORITE,ONSHORE,GAS,PLATEAU PRODUCTION,PASSIVE MARGIN,8200,JURASSIC,SANDSTONE,1500.0,150.0,7.0,0.04
LOWER PETTET (SLIGO),32.1988,-94.2574,GRAVITY/EXTENSION/EVAPORITE,ONSHORE,GAS,REJUVENATING,PASSIVE MARGIN,5852,CRETACEOUS,LIMESTONE,250.0,15.0,18.0,35.0
VIIVIAN,-12.1667,-72.75,COMPRESSION,ONSHORE,GAS-CONDENSATE,UNDEVELOPED,THRUST,6150,CRETACEOUS,SANDSTONE,245.0,210.0,13.0,1000.0
TENSLEEP,42.64,-106.84,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,THRUST/FORELAND,2300,CARBONIFEROUS,SANDSTONE,300.0,120.0,21.0,650.0
LANCE-FORT UNION,42.98,-106.87,COMPRESSION,ONSHORE,GAS,DECLINING PRODUCTION,SUB-THRUST/FORELAND,4800,CRETACEOUS-PALEOGENE,SANDSTONE,4600.0,550.0,17.0,3.0
SERIE MARNEUSE,44.5407,-1.182,COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND/RIFT,7333,CRETACEOUS,SANDSTONE,200.0,66.0,18.0,200.0
LOWER NUTOVO (XIV),52.5467,143.4583,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,OFFSHORE,OIL,UNDEVELOPED,INVERSION/WRENCH,6122,NEOGENE,SANDSTONE,346.0,102.0,23.0,100.0
LOWER NUTOVO (XVI),52.5467,143.4583,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,OFFSHORE,GAS-CONDENSATE,UNDEVELOPED,INVERSION/WRENCH,6794,NEOGENE,SANDSTONE,290.0,148.0,23.0,100.0
SMACKOVER,33.0456,-93.0971,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,10040,JURASSIC,LIMESTONE,75.0,27.0,12.0,200.0
CHATEAURENARD,47.9903,2.9619,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1860,CRETACEOUS,SANDSTONE,28.0,15.0,27.0,1000.0
GRISELLES,47.9903,2.9619,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1975,CRETACEOUS,SANDSTONE,20.0,7.0,27.0,1000.0
CHAUNOY,48.5687,2.8034,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,7356,TRIASSIC,SANDSTONE,217.0,82.0,13.0,130.0
RED SERIES,39.58,53.13,COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE-OFFSHORE,OIL,MATURE PRODUCTION,THRUST,1800,NEOGENE,SANDSTONE,7500.0,190.0,19.0,30.0
GUANTAO,38.173,118.8465,EXTENSION,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,3940,NEOGENE,SANDSTONE,945.0,236.0,33.8,2529.0
CHINGUETTI,17.73,-17.59,EVAPORITE/INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,DEVELOPING,PASSIVE MARGIN,3900,NEOGENE,SANDSTONE,820.0,125.0,27.0,2000.0
TALANG AKAR (ZONE 3),-5.4397,106.2639,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,2880,PALEOGENE,SANDSTONE,200.0,65.0,18.0,505.0
LEMAN SANDSTONE,53.4682,1.7338,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,7420,PERMIAN,SANDSTONE,715.0,580.0,11.0,0.5
FULMAR,56.45,2.2833,GRAVITY/EVAPORITE/EXTENSION,OFFSHORE,OIL,NEARLY DEPLETED,SALT/RIFT,11787,JURASSIC,THINLY-BEDDED SANDSTONE,650.0,390.0,20.0,350.0
TEMBLOR,36.2674,-120.3659,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,MATURE PRODUCTION,WRENCH/FOREARC,500,NEOGENE,SHALY SANDSTONE,700.0,190.0,34.0,850.0
BRENT,61.1286,1.1066,,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,7700,JURASSIC,SANDSTONE,300.0,225.0,,500.0
PHOSPHORIA (ERVAY),44.039,-107.748,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4700,PERMIAN,DOLOMITE,65.0,21.0,8.0,0.5
UPPER MANNVILLE (YY POOL),50.6174,-112.2057,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3347,CRETACEOUS,SANDSTONE,62.5,18.0,26.0,2500.0
VIKING (A POOL),52.9506,-114.429,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5840,CRETACEOUS,SANDSTONE,32.0,30.0,10.5,200.0
DUNDEE,43.2827,-84.8716,STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,3180,DEVONIAN,DOLOMITE,100.0,26.0,10.0,3.0
MIRADOR,5.0299,-72.6719,COMPRESSION/SHALE,ONSHORE,OIL,DECLINING PRODUCTION,THRUST/SUB-THRUST/FORELAND,13000,PALEOGENE,SANDSTONE,400.0,200.0,9.0,100.0
CUT BANK SANDSTONE,48.8208,-112.2007,,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2100,CRETACEOUS,SANDSTONE,47.0,16.0,,110.0
TULARE,35.3826,-119.708,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,DECLINING PRODUCTION,WRENCH,1000,NEOGENE,SANDSTONE,600.0,200.0,35.0,3000.0
CHALK GROUP (TOR-EKOFISK),55.4696,5.13375,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/INVERSION/RIFT,5560,CRETACEOUS-PALEOGENE,CHALK,500.0,160.0,28.0,1.75
SAERTU-PUTAOHUA-GAOTAIZI,46.7167,124.8333,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,2734,CRETACEOUS,THINLY-BEDDED SANDSTONE,600.0,100.0,26.0,1500.0
SHATLYK,36.4381,61.6544,,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,9350,CRETACEOUS,SANDSTONE,66.0,46.0,,350.0
WAHA-DEFA,28.0781,19.915,EXTENSION/INVERSION,ONSHORE,OIL,UNKNOWN,RIFT,5193,CRETACEOUS-PALEOGENE,LIMESTONE,860.0,210.0,20.0,20.0
AGBADA (G2 SAND),5.6139,5.1018,GRAVITY/EXTENSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,7985,NEOGENE,SANDSTONE,66.0,50.0,28.0,2000.0
AGBADA (G3 SAND),5.6139,5.1018,GRAVITY/EXTENSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,8215,NEOGENE,SANDSTONE,130.0,90.0,26.5,2000.0
UNNAMED,36.4773,-109.1404,UPLIFT/BASEMENT-I,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,2800,PALEOGENE,VOLCANICS,95.0,80.0,10.0,0.5
KYZYLTASH,36.6167,65.7,COMPRESSION/EVAPORITE,ONSHORE,GAS,REJUVENATING,INTRACRATONIC,6560,CRETACEOUS,SANDSTONE,450.0,89.0,23.0,214.0
RED SERIES,39.58,52.83,COMPRESSION/EVAPORITE/EXTENSION/LINKED,OFFSHORE,OIL,DEVELOPING,THRUST,7550,NEOGENE,SANDSTONE,10500.0,80.0,17.0,22.0
YINGGEHAI,18.6146,107.9364,TRANSTENSION/EXTENSION/SHALE/LINKED,OFFSHORE,GAS,DEVELOPING,WRENCH/RIFT,3717,NEOGENE,SANDSTONE,660.0,308.0,25.0,88.3
DRAKE POINT-INTREPID INLET,76.4462,-108.9172,COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE,GAS,UNDEVELOPED,FORELAND,3390,JURASSIC,SANDSTONE,100.0,71.0,20.0,566.0
ROGN (VIKING),64.3656,7.7891,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,4416,JURASSIC,SANDSTONE,100.0,66.0,20.0,6000.0
ARAB C,25.4211,50.7836,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,5297,JURASSIC,LIMESTONE,84.0,15.0,18.0,30.0
